date,returns,dbc,hyg,ief,spy,united-states-ig-oas-all-sector,united-states-hy-oas-all-sector,united-states-cmt10y
2019-03-07,-0.0004461,-0.0025316,-0.0007036,0.00335201,-0.0084007,1.14619961066334,2.71805663215435,2.64
2019-03-08,-0.0015897,-0.0006339,-0.0016438,0.00143314,-0.0020019,1.15288054635249,2.75976596765139,2.62
2019-03-11,0.00121767,0.00126743,0.00328485,-0.0007641,0.01439707,1.14178424291305,2.69206593898743,2.64
2019-03-12,0.00140263,0.00631315,0.00175531,0.00276705,0.00376392,1.14545572999729,2.7042783379884296,2.61
2019-03-13,0.00053475,0.00627355,0.00268551,-0.0003812,0.00659739,1.14128664227537,2.64981835320789,2.61
2019-03-14,2.92e-05,-0.0043873,-0.0006999,-0.0014308,-0.00064,1.1420135974960899,2.65614569864232,2.63
2019-03-15,0.00134924,0.0,0.00093305,0.00314511,0.00491678,1.1368335688284699,2.66621011524616,2.59
2019-03-18,0.000761,0.00501254,-0.0003498,-0.0013331,0.00361934,1.13479835172688,2.65181216525678,2.6
2019-03-19,0.00031685,0.00249688,0.00058292,-0.0006672,0.00024791,1.16285710373044,2.6612921851405504,2.61
2019-03-20,0.00015827,0.00745345,0.00430308,0.00693622,-0.0030145,1.17075724573327,2.71700141524657,2.54
2019-03-21,0.00116331,-0.0049628,-0.0002321,-0.0004736,0.01123131,1.16056886530492,2.66684174795067,2.54
2019-03-22,-0.0003921,-0.0087446,-0.0036049,0.007362,-0.0194339,1.18156362427079,2.82352739611497,2.44
2019-03-25,-0.0015697,0.00375705,-0.0003495,0.00253581,-0.0007523,1.21021478521193,2.88740688023697,2.43
2019-03-26,0.00067851,0.00187324,0.00244428,-0.0008446,0.00742648,1.16036996397472,2.74754166894969,2.41
2019-03-27,-0.0003931,-0.0056303,0.00069727,0.00290603,-0.0052428,1.16256840212852,2.8169667963721796,2.39
2019-03-28,-0.0003569,-0.0031417,0.00197296,9.36e-05,0.00378329,1.14865427754325,2.75908930862001,2.39
2019-03-29,0.00189177,0.00062913,0.00254748,-0.0015924,0.00628564,1.13405605540899,2.69683207639771,2.41
2019-04-01,0.00120636,0.00938974,-0.0002366,-0.0068852,0.01178948,1.12177529821911,2.60370627863143,2.49
2019-04-02,0.0007315,0.00248911,0.00046463,0.00170116,0.00048968,1.12802981271204,2.67951682885015,2.48
2019-04-03,0.00056797,0.00124224,0.00034833,-0.003121,0.00157235,1.12315134533761,2.6046501130533897,2.52
2019-04-04,0.00083918,0.00062054,0.00150803,0.00104142,0.00264993,1.11669783836682,2.62827726107535,2.51
2019-04-05,0.00121408,0.00309694,0.00185292,0.00047301,0.00482849,1.12170278444089,2.65480271027782,2.5
2019-04-08,8.8e-05,0.00370371,-0.0005787,-0.0016092,0.00076209,1.11356763775279,2.61613594121704,2.52
2019-04-09,0.00040589,-0.0018501,-0.0006948,0.00179831,-0.005138,1.11197171491723,2.63994835290535,2.51
2019-04-10,0.00066184,0.00860485,0.00439256,0.00236128,0.00340515,1.10606156387084,2.64356336578749,2.48
2019-04-11,6.66e-05,-0.004908,0.0014983,-0.0022667,-0.0002775,1.08930214406245,2.58227546426566,2.51
2019-04-12,0.00020721,0.00307031,0.00149606,-0.0046439,0.00674311,1.06457633732623,2.5067232074865102,2.56
2019-04-15,0.00050478,-0.0018411,-0.0006902,0.00132903,-0.000655,1.0558130834291999,2.51988787736729,2.55
2019-04-16,8.51e-05,-0.0036923,-0.0005755,-0.0034211,0.00065503,1.05327117734831,2.49895851781975,2.6
2019-04-17,0.00039746,-0.003706,-0.0024209,0.00019037,-0.0024499,1.05404139686276,2.52879185101269,2.59
2019-04-18,0.00041036,0.00308928,0.00046157,0.00237654,0.00196732,1.06128287695415,2.56872823278102,2.57
2019-04-22,-0.0003355,0.00492309,-0.001732,-0.0014252,0.00086164,1.07352293435505,2.55623454793116,2.59
2019-04-23,0.00068727,0.00122699,0.00346101,0.00180497,0.00895144,1.0718170547197199,2.55350443432414,2.57
2019-04-24,0.00033841,-0.0036855,-0.001383,0.00378932,-0.0022218,1.06732054545169,2.58875688439724,2.53
2019-04-25,-0.0010199,-0.0018479,0.0004612,-0.00123,-0.0006161,1.0620401678804101,2.5727384660225,2.54
2019-04-26,0.00104854,-0.0117831,0.00253281,0.00264726,0.00464593,1.05888061479397,2.6026324127700002,2.51
2019-04-29,0.00015299,0.00062364,-0.00046,-0.0020794,0.00156654,1.0632784935089001,2.5677972257682398,2.54
2019-04-30,0.00073658,0.00311236,0.00011503,0.00198497,0.0005103,1.06061687263212,2.58743304897106,2.51
